ダウンロードした時刻：2025/11/26 18:56:59

,千葉,千葉,千葉
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2024/11/25,10.6,8,1
2024/11/26,11.9,8,1
2024/11/27,16.0,8,1
2024/11/28,15.5,8,1
2024/11/29,13.7,8,1
2024/11/30,12.2,8,1
2024/12/1,12.2,8,1
2024/12/2,12.9,8,1
2024/12/3,13.8,8,1
2024/12/4,13.4,8,1
2024/12/5,12.5,8,1
2024/12/6,12.2,8,1
2024/12/7,9.3,8,1
2024/12/8,8.5,8,1
2024/12/9,8.6,8,1
2024/12/10,9.3,8,1
2024/12/11,9.5,8,1
2024/12/12,6.8,8,1
2024/12/13,6.3,8,1
2024/12/14,7.7,8,1
2024/12/15,8.2,8,1
2024/12/16,9.3,8,1
2024/12/17,9.1,8,1
2024/12/18,8.2,8,1
2024/12/19,5.1,8,1
2024/12/20,7.4,8,1
2024/12/21,11.9,8,1
2024/12/22,7.8,8,1
2024/12/23,6.7,8,1
2024/12/24,7.3,8,1
2024/12/25,8.5,8,1
2024/12/26,10.3,8,1
2024/12/27,8.3,8,1
2024/12/28,6.5,8,1
2024/12/29,6.1,8,1
2024/12/30,6.3,8,1
2024/12/31,8.8,8,1
2025/1/1,8.1,8,1
2025/1/2,8.2,8,1
2025/1/3,5.3,8,1
2025/1/4,5.0,8,1
2025/1/5,5.9,8,1
2025/1/6,5.9,8,1
2025/1/7,9.6,8,1
2025/1/8,8.6,8,1
2025/1/9,8.4,8,1
2025/1/10,5.9,8,1
2025/1/11,6.9,8,1
2025/1/12,5.8,8,1
2025/1/13,7.7,8,1
2025/1/14,7.3,8,1
2025/1/15,8.4,8,1
2025/1/16,5.3,8,1
2025/1/17,5.8,8,1
2025/1/18,5.1,8,1
2025/1/19,5.9,8,1
2025/1/20,10.1,8,1
2025/1/21,9.3,8,1
2025/1/22,8.3,8,1
2025/1/23,8.4,8,1
2025/1/24,9.2,8,1
2025/1/25,6.4,8,1
2025/1/26,6.6,8,1
2025/1/27,7.0,8,1
2025/1/28,8.8,8,1
2025/1/29,8.4,8,1
2025/1/30,7.2,8,1
2025/1/31,7.5,8,1
2025/2/1,7.6,8,1
2025/2/2,5.6,8,1
2025/2/3,7.0,8,1
2025/2/4,7.2,8,1
2025/2/5,5.0,8,1
2025/2/6,5.5,8,1
2025/2/7,5.7,8,1
2025/2/8,5.0,8,1
2025/2/9,5.9,8,1
2025/2/10,5.8,8,1
2025/2/11,5.7,8,1
2025/2/12,7.6,8,1
2025/2/13,8.6,8,1
2025/2/14,8.7,8,1
2025/2/15,9.3,8,1
2025/2/16,11.6,8,1
2025/2/17,9.7,8,1
2025/2/18,5.5,8,1
2025/2/19,4.2,8,1
2025/2/20,5.1,8,1
2025/2/21,5.9,8,1
2025/2/22,4.9,8,1
2025/2/23,5.7,8,1
2025/2/24,5.2,8,1
2025/2/25,7.4,8,1
2025/2/26,11.5,8,1
2025/2/27,10.8,8,1
2025/2/28,11.2,8,1
2025/3/1,13.3,8,1
2025/3/2,14.5,8,1
2025/3/3,6.7,8,1
2025/3/4,2.9,8,1
2025/3/5,5.8,8,1
2025/3/6,9.7,8,1
2025/3/7,7.3,8,1
2025/3/8,3.7,8,1
2025/3/9,7.0,8,1
2025/3/10,8.6,8,1
2025/3/11,11.1,8,1
2025/3/12,13.4,8,1
2025/3/13,14.7,8,1
2025/3/14,12.8,8,1
2025/3/15,9.2,8,1
2025/3/16,7.1,8,1
2025/3/17,10.8,8,1
2025/3/18,9.0,8,1
2025/3/19,7.0,8,1
2025/3/20,8.0,8,1
2025/3/21,11.1,8,1
2025/3/22,16.3,8,1
2025/3/23,17.3,8,1
2025/3/24,14.7,8,1
